Scheme	Time (s)	Delay (ms)
bbr	4.274093	21.13
bbr	4.276175	23.17
bbr	4.278453	22.89
bbr	4.280982	25.39
bbr	4.282452	24.32
bbr	4.284727	26.55
bbr	4.296912	36.25
bbr	4.296982	36.28
bbr	4.296999	33.71
bbr	4.298074	34.75
bbr	4.298110	32.28
bbr	4.299197	33.33
bbr	4.300277	31.92
bbr	4.302496	34.10
bbr	4.303496	32.55
bbr	4.306475	35.49
bbr	4.308640	35.11
bbr	4.311948	38.39
bbr	4.311979	35.90
bbr	4.313016	36.91
bbr	4.316471	37.85
bbr	4.318371	39.72
bbr	4.320567	39.40
bbr	4.321642	40.43
bbr	4.323786	40.00
bbr	4.324866	41.05
bbr	4.326842	40.53
bbr	4.329116	42.75
bbr	4.329151	40.28
bbr	4.331267	42.36
bbr	4.333378	41.89
bbr	4.334462	42.92
bbr	4.335611	39.91
bbr	4.336469	40.72
bbr	4.338622	38.58
bbr	4.339702	39.62
bbr	4.341778	37.52
bbr	4.341828	37.53
bbr	4.343899	35.30
bbr	4.346026	37.40
bbr	4.347854	34.99
bbr	4.351048	38.15
bbr	4.351085	33.97
bbr	4.352184	35.02
bbr	4.353331	31.91
bbr	4.353392	31.94
bbr	4.356235	34.75
bbr	4.357224	35.72
bbr	4.358328	32.70
bbr	4.360349	34.67
bbr	4.366480	36.55
bbr	4.366550	36.58
bbr	4.366566	32.40
bbr	4.366594	32.39
bbr	4.366607	28.16
bbr	4.367561	29.09
bbr	4.369688	28.15
bbr	4.371754	30.18
bbr	4.372892	28.23
bbr	4.374003	29.30
bbr	4.376089	28.37
bbr	4.376136	28.38
bbr	4.377940	27.09
bbr	4.379088	28.21
bbr	4.379122	25.22
bbr	4.380168	26.23
bbr	4.389280	32.27
bbr	4.389349	32.30
bbr	4.389370	29.24
bbr	4.389409	29.24
bbr	4.389429	26.20
bbr	4.389469	26.21
bbr	4.396534	30.23
bbr	4.396606	30.23
bbr	4.396626	27.22
bbr	4.396661	27.20
bbr	4.396679	24.19
bbr	4.396715	24.19
bbr	4.396733	21.19
bbr	4.396768	21.18
bbr	4.406761	28.10
bbr	4.406819	28.12
bbr	4.406835	25.10
bbr	4.408789	27.02
bbr	4.408825	23.95
bbr	4.408862	23.94
bbr	4.411907	23.93
bbr	4.413032	25.02
bbr	4.413079	22.03
bbr	4.413105	22.02
bbr	4.422180	28.03
bbr	4.422216	28.04
bbr	4.424503	27.31
bbr	4.424539	27.31
bbr	4.428310	28.03
bbr	4.428345	28.03
bbr	4.428379	25.01
bbr	4.428399	24.98
bbr	4.430502	24.04
bbr	4.440661	34.17
bbr	4.440730	31.13
bbr	4.440752	31.11
bbr	4.440785	28.09
bbr	4.440803	28.07
bbr	4.440835	25.05
bbr	4.442808	26.98
bbr	4.443955	25.13
bbr	4.445107	26.24
bbr	4.446188	24.19
bbr	4.447305	25.27
bbr	4.449027	23.95
bbr	4.449055	23.93
bbr	4.451104	23.00
bbr	4.452237	24.10
bbr	4.453126	21.86
bbr	4.454264	22.96
bbr	4.458276	23.99
bbr	4.459420	25.10
bbr	4.460318	22.89
bbr	4.461446	23.98
bbr	4.467636	27.15
bbr	4.467668	27.14
bbr	4.467697	24.08
bbr	4.467706	24.05
bbr	4.469620	22.96
bbr	4.469666	22.97
bbr	4.471886	22.09
bbr	4.471945	22.11
bbr	4.473990	21.10
bbr	4.475735	22.80
bbr	4.476817	23.87
bbr	4.477724	24.77
bbr	4.478829	22.90
bbr	4.480875	24.90
bbr	4.482060	23.03
bbr	4.483139	24.08
bbr	4.483177	21.01
bbr	4.484218	22.01
bbr	4.486205	20.95
bbr	4.488120	22.83
bbr	4.489251	20.91
bbr	4.490334	21.95
bbr	4.494455	23.03
bbr	4.496754	25.28
bbr	4.497469	22.99
bbr	4.499637	25.12
bbr	4.500516	22.94
bbr	4.502769	25.15
bbr	4.503905	23.16
bbr	4.505548	24.77
bbr	4.505591	21.77
bbr	4.506722	22.86
bbr	4.508778	21.90
bbr	4.508849	21.93
bbr	4.511905	21.89
bbr	4.512991	22.94
bbr	4.515113	22.00
bbr	4.515178	22.02
bbr	4.517208	21.04
bbr	4.518383	22.18
bbr	4.520471	21.25
bbr	4.521595	22.34
bbr	4.524753	22.35
bbr	4.525896	23.46
bbr	4.527489	22.10
bbr	4.529398	23.98
bbr	4.542307	33.82
bbr	4.542429	33.90
bbr	4.547303	35.66
bbr	4.547370	35.69
bbr	4.547390	32.88
bbr	4.547405	32.86
bbr	4.549125	31.68
bbr	4.550250	32.77
bbr	4.553079	32.69
bbr	4.554055	33.63
bbr	4.555148	31.75
bbr	4.565801	42.37
bbr	4.565858	39.60
bbr	4.568749	42.45
bbr	4.568819	39.56
bbr	4.568843	39.55
bbr	4.568883	36.65
bbr	4.569837	37.57
bbr	4.571719	36.67
bbr	4.574563	39.48
bbr	4.575679	37.60
bbr	4.578517	40.40
bbr	4.580348	39.40
bbr	4.582243	41.25
bbr	4.583337	39.40
bbr	4.585208	41.23
bbr	4.587457	40.65
bbr	4.588579	41.73
bbr	4.589230	39.49
bbr	4.591390	41.63
bbr	4.591450	38.71
bbr	4.594153	41.35
bbr	4.594206	38.60
bbr	4.595197	39.55
bbr	4.597466	38.92
bbr	4.597509	38.92
bbr	4.599212	37.73
bbr	4.600349	38.80
bbr	4.602843	38.35
bbr	4.602881	38.35
bbr	4.604913	37.45
bbr	4.605733	38.23
bbr	4.606779	36.42
bbr	4.609816	39.42
bbr	4.613051	39.76
bbr	4.613104	39.76
bbr	4.615629	39.47
bbr	4.615687	39.49
bbr	4.618560	42.34
bbr	4.618598	42.37
bbr	4.619659	40.56
bbr	4.620767	41.63
bbr	4.622921	40.88
bbr	4.625984	43.88
bbr	4.626055	41.01
bbr	4.627086	42.01
bbr	4.627168	39.20
bbr	4.628538	40.53
bbr	4.629637	38.80
bbr	4.630766	39.89
bbr	4.633841	39.98
bbr	4.635016	41.11
bbr	4.636110	39.26
bbr	4.636145	39.25
bbr	4.638434	38.72
bbr	4.647997	48.25
bbr	4.648089	45.42
bbr	4.648112	45.41
bbr	4.648147	42.60
bbr	4.649146	43.54
bbr	4.656711	48.19
bbr	4.659731	51.17
bbr	4.659797	48.33
bbr	4.659814	48.30
bbr	4.659839	45.43
bbr	4.659854	45.41
bbr	4.659878	42.52
bbr	4.660734	43.34
bbr	4.666760	46.56
bbr	4.666799	46.56
bbr	4.666841	43.62
bbr	4.667880	44.61
bbr	4.669568	43.48
bbr	4.671339	45.22
bbr	4.672404	43.22
bbr	4.674270	45.05
bbr	4.676412	44.40
bbr	4.678183	46.13
bbr	4.680126	45.14
bbr	4.681251	46.23
bbr	4.682434	44.51
bbr	4.684424	46.47
bbr	4.685548	44.80
bbr	4.686654	45.87
bbr	4.688804	45.01
bbr	4.690556	46.72
bbr	4.692685	45.95
bbr	4.692727	45.96
bbr	4.694908	45.29
bbr	4.697317	47.66
bbr	4.697396	44.82
bbr	4.700867	48.25
bbr	4.702001	46.57
bbr	4.710228	54.77
bbr	4.710288	51.83
bbr	4.712410	53.92
bbr	4.715589	54.31
bbr	4.717284	55.96
bbr	4.719401	55.16
bbr	4.720449	56.16
bbr	4.723100	55.89
bbr	4.723159	55.92
bbr	4.725266	55.23
bbr	4.727517	57.44
bbr	4.729813	56.90
bbr	4.730039	57.09
bbr	4.732311	56.48
bbr	4.733442	57.56
bbr	4.736808	58.03
bbr	4.737057	58.25
bbr	4.737107	55.39
bbr	4.740224	58.47
bbr	4.743332	58.77
bbr	4.745442	60.85
bbr	4.745518	58.59
bbr	4.747528	60.57
bbr	4.750807	61.60
bbr	4.751997	62.76
bbr	4.752708	61.17
bbr	4.754763	63.19
bbr	4.757931	66.34
bbr	4.768990	77.39
bbr	4.769063	75.16
bbr	4.770934	76.99
