Scheme	Time (s)	Delay (ms)
pybbr	4.447347	33.10
pybbr	4.447363	31.98
pybbr	4.448437	31.73
pybbr	4.450915	33.06
pybbr	4.452053	32.95
pybbr	4.452069	31.78
pybbr	4.454394	32.96
pybbr	4.454411	31.81
pybbr	4.456800	33.03
pybbr	4.457919	33.02
pybbr	4.458060	31.98
pybbr	4.459162	31.85
pybbr	4.460266	31.78
pybbr	4.462610	32.91
pybbr	4.463718	32.85
pybbr	4.464813	32.75
pybbr	4.465020	31.77
pybbr	4.466132	31.75
pybbr	4.468571	33.01
pybbr	4.469707	33.00
pybbr	4.470799	32.87
pybbr	4.472001	32.91
pybbr	4.473173	32.91
pybbr	4.474513	33.09
pybbr	4.475667	32.94
pybbr	4.476707	32.82
pybbr	4.477876	32.85
pybbr	4.478037	31.84
pybbr	4.480259	32.88
pybbr	4.481436	32.78
pybbr	4.482558	32.75
pybbr	4.483769	32.78
pybbr	4.484144	31.99
pybbr	4.486260	32.96
pybbr	4.487374	32.86
pybbr	4.488454	32.78
pybbr	4.489706	32.89
pybbr	4.490979	32.97
pybbr	4.493374	34.22
pybbr	4.493408	33.07
pybbr	4.494439	32.96
pybbr	4.495627	32.91
pybbr	4.496815	32.97
pybbr	4.498121	32.99
pybbr	4.500220	33.93
pybbr	4.500235	32.77
pybbr	4.501504	32.86
pybbr	4.502778	33.00
pybbr	4.505020	34.07
pybbr	4.506207	34.02
pybbr	4.506222	32.84
pybbr	4.507539	33.02
pybbr	4.508653	32.98
pybbr	4.510083	33.22
pybbr	4.511180	33.19
pybbr	4.512214	32.99
pybbr	4.513379	33.05
pybbr	4.514600	33.07
pybbr	4.516101	33.30
pybbr	4.517174	33.16
pybbr	4.519368	34.20
pybbr	4.519384	33.09
pybbr	4.520538	33.05
pybbr	4.522982	34.26
pybbr	4.524145	34.29
pybbr	4.524163	33.10
pybbr	4.526368	34.12
pybbr	4.526384	32.98
pybbr	4.528815	34.23
pybbr	4.530058	34.31
pybbr	4.530076	33.18
pybbr	4.531213	33.12
pybbr	4.533507	34.25
pybbr	4.534614	34.12
pybbr	4.535830	34.15
pybbr	4.536932	34.11
pybbr	4.537063	33.10
pybbr	4.538195	32.89
pybbr	4.540484	34.02
pybbr	4.541643	33.99
pybbr	4.542744	33.95
pybbr	4.543198	33.16
pybbr	4.544315	33.11
pybbr	4.546535	34.17
pybbr	4.547639	34.13
pybbr	4.548743	34.05
pybbr	4.550009	34.05
pybbr	4.550025	32.88
pybbr	4.552313	34.01
pybbr	4.553606	34.13
pybbr	4.554694	34.02
pybbr	4.556028	34.25
pybbr	4.556043	33.07
pybbr	4.558266	34.15
pybbr	4.559490	34.15
pybbr	4.560608	34.16
pybbr	4.561759	34.08
pybbr	4.562860	34.05
pybbr	4.565244	35.23
pybbr	4.565259	34.10
pybbr	4.566360	34.04
pybbr	4.567644	34.17
pybbr	4.568859	34.11
pybbr	4.570118	34.19
pybbr	4.571256	34.13
pybbr	4.572355	34.07
pybbr	4.573550	34.15
pybbr	4.574737	34.17
pybbr	4.576062	34.31
pybbr	4.578201	35.15
pybbr	4.578219	34.01
pybbr	4.579461	34.08
