Scheme	Traffic	Time (s)	Throughput (Mbit/s)
bbr	egress	5.10	9.44
bbr	egress	5.25	8.80
bbr	egress	5.40	5.92
bbr	egress	5.55	8.56
bbr	egress	5.70	8.80
bbr	egress	5.85	7.76
bbr	egress	6.00	9.12
bbr	egress	6.15	6.40
bbr	egress	6.30	6.96
bbr	egress	6.45	7.68
bbr	egress	6.60	10.16
bbr	egress	6.75	9.36
bbr	egress	6.90	7.52
bbr	egress	7.05	8.56
bbr	egress	7.20	8.32
bbr	egress	7.35	8.56
bbr	egress	7.50	9.12
bbr	egress	7.65	9.28
bbr	egress	7.80	9.12
bbr	egress	7.95	8.16
bbr	egress	8.10	9.28
bbr	egress	8.25	7.36
bbr	egress	8.40	7.04
bbr	egress	8.55	5.76
bbr	egress	8.70	7.36
bbr	egress	8.85	7.36
bbr	egress	9.00	6.56
bbr	egress	9.15	7.60
bbr	egress	9.30	6.88
bbr	egress	9.45	5.52
bbr	egress	9.60	6.80
bbr	egress	9.75	8.00
bbr	egress	9.90	4.24
bbr	egress	10.05	4.08
bbr	egress	10.20	5.84
bbr	egress	10.35	6.56
bbr	egress	10.50	8.32
bbr	egress	10.65	4.48
bbr	egress	10.80	4.80
bbr	egress	10.95	4.88
bbr	egress	11.10	2.72
bbr	egress	11.25	2.00
bbr	egress	11.40	3.60
bbr	egress	11.55	3.60
bbr	egress	11.70	4.32
bbr	egress	11.85	6.40
bbr	egress	12.00	5.84
bbr	egress	12.15	5.04
bbr	egress	12.30	3.76
bbr	egress	12.45	5.04
bbr	egress	12.60	1.84
bbr	egress	12.75	1.44
bbr	egress	12.90	5.36
bbr	egress	13.05	8.08
bbr	egress	13.20	6.48
bbr	egress	13.35	2.48
bbr	egress	13.50	1.12
bbr	egress	13.65	6.56
bbr	egress	13.80	0.40
bbr	egress	13.95	2.24
bbr	egress	14.10	3.52
bbr	egress	14.25	2.64
bbr	egress	14.40	2.64
bbr	egress	14.55	3.28
bbr	egress	14.70	3.04
bbr	egress	14.85	3.04
bbr	egress	15.00	2.80
bbr	egress	15.15	2.16
bbr	egress	15.30	3.44
bbr	egress	15.45	3.68
bbr	egress	15.60	3.52
bbr	egress	15.75	3.44
bbr	egress	15.90	1.76
bbr	egress	16.05	3.12
bbr	egress	16.20	2.88
bbr	egress	16.35	3.36
bbr	egress	16.50	3.04
bbr	egress	16.65	1.84
bbr	egress	16.80	1.68
bbr	egress	16.95	1.28
bbr	egress	17.10	1.84
